index,name,isin,url,keyword
2,7IM Adventurous Fund (Class C),GB0033957704,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/7/7im-adventurous-fund-class-c-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
7,7IM Moderately Adventurous (Class C),GB0033956516,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/7/7im-moderately-adventurous-class-c-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
12,7IM Adventurous Fund (Class C),GB0033957704,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/7/7im-adventurous-fund-class-c-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
17,7IM Moderately Adventurous (Class C),GB0033956516,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/7/7im-moderately-adventurous-class-c-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
22,7IM Pathbuilder 2 (Class C),GB00BMDPC322,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/7/7im-pathbuilder-2-class-c-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
27,7IM Pathbuilder 4 (Class C),GB00BMDPCD23,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/7/7im-pathbuilder-4-class-c-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
32,Aberforth UK Small Companies,GB0000072727,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aberforth-uk-small-companies-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
37,abrdn American Equity Enhanced Index (N),GB00BDFZ7545,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-american-equity-enhanced-index-n-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
42,abrdn Asia Pacific ex-Japan Equity Tracker (N),GB00BKBD2G73,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-asia-pacific-ex-japan-equity-tracker-n-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
47,abrdn Emer Markets Local Currency Bd Tracker (N),GB00BDFZ6R91,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-emer-markets-local-currency-bd-tracker-n-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
52,abrdn Emerging Markets Equity Tracker (N),GB00BMD2L031,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-emerging-markets-equity-tracker-n-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
57,abrdn Europe ex UK Equity (I),GB00B0LG6P37,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-europe-ex-uk-equity-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
62,abrdn European Equity Enhanced Index (N),GB00BDFZ6N53,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-european-equity-enhanced-index-n-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
67,abrdn Future Global Equity (X),LU0837983864,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-future-global-equity-x-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
72,abrdn Global Equity (I),GB0031682734,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-global-equity-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
77,abrdn Global Inflation-Linked Bond (I),GB00B00ZJX05,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-global-inflation-linked-bond-i-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
82,abrdn Global Infrastructure Equity Tracker (N),GB00BRCFRK09,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-global-infrastructure-equity-tracker-n-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
87,abrdn Global Sustainable Equity (I),GB0006833825,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-global-sustainable-equity-i-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
92,abrdn Japanese Equity (I),GB0004521737,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-japanese-equity-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
97,abrdn MyFolio Core II (I),GB00BHZCRC07,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-myfolio-core-ii-i-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
102,abrdn MyFolio Core V (I),GB00B545DL77,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-myfolio-core-v-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
107,abrdn MyFolio Enhanced ESG IV (B),GB00BN4R6434,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-myfolio-enhanced-esg-iv-b-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
112,abrdn MyFolio Index III (B),GB00BHZCQT09,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-myfolio-index-iii-b-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
117,abrdn MyFolio Multi-Manager II (I),GB00B55L0T15,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-myfolio-multi-manager-ii-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
122,abrdn MyFolio Multi-Manager V (I),GB00BHZCS055,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-myfolio-multi-manager-v-i-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
127,abrdn Short Dated Enhanced Income (Class X Hedged),LU2698064941,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-short-dated-enhanced-income-class-x-hedged-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
132,abrdn Short Duration Glbl Inflation-Linked Bd (I),GB00BP25R510,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-short-duration-glbl-inflation-linked-bd-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
137,abrdn SICAV I Asian Smaller Companies (X),LU0837967669,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-sicav-i-asian-smaller-companies-x-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
142,abrdn SICAV I Frontier Markets Bond (X),LU1011993638,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-sicav-i-frontier-markets-bond-x-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
147,abrdn SICAV I Indian Bond (X),LU1640795206,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-sicav-i-indian-bond-x-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
152,abrdn SICAV II Globa Income Bond (B Hedged),LU1438964634,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-sicav-ii-globa-income-bond-b-hedged-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
